ISO,State,Population
US-AL,Alabama,4779736
US-AK,Alaska,710231
US-AZ,Arizona,6392017
US-AR,Arkansas,2915918
US-CA,California,37253956
US-CO,Colorado,5029196
US-CT,Connecticut,3574097
US-DE,Delaware,897934
US-DC,District of Columbia,601723
US-FL,Florida,18801310
US-GA,Georgia,9687653
US-HI,Hawaii,1360301
US-ID,Idaho,1567582
US-IL,Illinois,12830632
US-IN,Indiana,6483802
US-IA,Iowa,3046355
US-KS,Kansas,2853118
US-KY,Kentucky,4339367
US-LA,Louisiana,4533372
US-ME,Maine,1328361
US-MD,Maryland,5773552
US-MA,Massachusetts,6547629
US-MI,Michigan,9883640
US-MN,Minnesota,5303925
US-MS,Mississippi,2967297
US-MO,Missouri,5988927
US-MT,Montana,989415
US-NE,Nebraska,1826341
US-NV,Nevada,2700551
US-NH,New Hampshire,1316470
US-NJ,New Jersey,8791894
US-NM,New Mexico,2059179
US-NY,New York,19378102
US-NC,North Carolina,9535483
US-ND,North Dakota,672591
US-OH,Ohio,11536504
US-OK,Oklahoma,3751351
US-OR,Oregon,3831074
US-PA,Pennsylvania,12702379
US-RI,Rhode Island,1052567
US-SC,South Carolina,4625364
US-SD,South Dakota,81418
US-TN,Tennessee,6346105
US-TX,Texas,25145561
US-UT,Utah,2763885
US-VT,Vermont,625741
US-VA,Virginia,8001024
US-WA,Washington,6724540
US-WV,West Virginia,1852994
US-WI,Wisconsin,5686986
US-WY,Wyoming,563626
